State,geo_value,Closed businesses overnight,Reopened businesses overnight
Alabama,AL,0,0
Arizona,AZ,0,0
Arkansas,AR,11/19/2020,1/3/2021
California,CA,11/21/2020,1/25/2021
Colorado,CO,0,0
Connecticut,CT,11/2/2020,5/19/2021
Delaware,DE,12/14/2020,1/8/2021
Florida,FL,0,0
Georgia,GA,0,0
Idaho,ID,0,0
Iowa,IA,11/17/2020,12/10/2020
Illinois,IL,0,0
Indiana,IN,0,0
Kansas,KS,0,0
Kentucky,KY,8/11/2020,5/28/2021
Louisiana,LA,0,0
Massachusetts,MA,11/6/2020,1/25/2021
Maryland,MD,11/20/2020,2/1/2021
Maine,ME,11/20/2020,2/1/2021
Michigan,MI,2/1/2021,6/1/2021
Minnesota,MN,11/13/2020,5/7/2021
Missouri,MO,0,0
Mississippi,MS,5/7/2020,6/15/2020
Montana,MT,11/20/2020,1/15/2021
North Carolina,NC,12/11/2020,2/28/2021
North Dakota,ND,11/16/2020,12/22/2020
Nebraska,NE,0,0
New Hampshire,NH,0,0
New Jersey,NJ,11/10/2020,2/5/2021
New Mexico,NM,10/16/2020,11/13/2020
Nevada,NV,0,0
New York,NY,11/13/2020,5/31/2021
Ohio,OH,11/19/2020,2/11/2021
Oklahoma,OK,11/19/2020,1/14/2021
Oregon,OR,0,0
Pennsylvania,PA,0,0
Rhode Island,RI,11/8/2020,1/29/2021
South Carolina,SC,0,0
South Dakota,SD,0,0
Tennessee,TN,0,0
Texas,TX,0,0
Utah,UT,0,0
Virginia,VA,11/15/2020,5/15/2021
Vermont,VT,11/14/2020,4/15/2021
Washington,WA,0,0
Wisconsin,WI,0,0
West Virginia,WV,0,0
Wyoming,WY,12/9/2020,1/8/2021
